ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee
07149;2019-09-30T02:00:00+02:00;101210;250.0;1;250;2.3;287.65;283.65;77;25000.0;1;2;2;75.0;6;800.0;35;20;10;100140.0;;;-100.0;;;;;;;;4.6;9.5;-10.0;2;0.0;0.0;-60.0;0.0;0.0;-0.1;0.6;3.2;;;;;1.0;6;810.0;6.0;6;1380.0;;;;;;;48.716833, 2.384333;ORLY;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Dans l’ensemble, nuages se dissipant ou devenant moins épais;14.5;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;9
07149;2019-05-15T05:00:00+02:00;102530;-70.0;6;60;4.2;281.85;276.05;67;30000.0;2;0;0;0.0;0;;30;20;10;101420.0;;;-660.0;;;;;;;;6.3;6.3;-10.0;0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.716833, 2.384333;ORLY;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;8.700000000000045;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;5
07149;2019-05-15T20:00:00+02:00;102050;-90.0;6;40;5.4;289.85;275.85;39;30000.0;2;0;0;50.0;0;8000.0;30;20;11;100980.0;;;-540.0;283.45;;291.45;;;;;7.8;10.2;-10.0;0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;4.0;0;8000.0;;;;;;;;;;48.716833, 2.384333;ORLY;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;16.700000000000045;10.300000000000011;;18.30000000000001;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;5
07149;2019-05-18T14:00:00+02:00;100480;-30.0;8;180;2.3;291.35;283.25;59;25000.0;1;2;2;90.0;5;1250.0;38;23;;99430.0;;;-30.0;;;;;;;;7.2;7.2;-10.0;1;0.0;0.0;-60.0;0.0;0.0;0.0;0.6;0.6;;;;;4.0;8;1060.0;3.0;6;1800.0;5.0;3;4600.0;;;;48.716833, 2.384333;ORLY;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Dans l’ensemble, nuages se dissipant ou devenant moins épais;18.200000000000045;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;5
07149;2019-05-19T11:00:00+02:00;100720;50.0;2;330;2.3;288.35;285.85;85;7000.0;21;6;2;90.0;6;450.0;38;;;99660.0;;;200.0;;;;;;;;3.8;7.1;-10.0;1;0.0;0.0;-30.0;-0.1;-0.1;-0.1;-0.1;4.0;;;;;3.0;8;300.0;6.0;6;2100.0;;;;;;;48.716833, 2.384333;ORLY;En hausse;Pluie;Pluie (ne se congelant pas);15.200000000000045;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;5
07149;2019-05-20T08:00:00+02:00;101040;110.0;3;340;3.1;284.65;282.55;87;9360.0;61;2;2;100.0;7;450.0;;;;99960.0;;;350.0;284.45;;287.95;;;;;6.5;6.6;-10.0;1;0.0;;;-0.1;-0.1;-0.1;0.2;3.8;;;;;7.0;;390.0;7.0;;1110.0;8.0;;1920.0;;;;48.716833, 2.384333;ORLY;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Pluie, sans congélation, continue, faible au moment de l’observation;11.5;11.300000000000011;;14.800000000000011;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;5
07149;2019-05-21T14:00:00+02:00;101740;10.0;2;340;3.3;292.15;283.45;57;18000.0;3;2;2;75.0;5;1250.0;38;23;10;100680.0;;;580.0;;;;;;;;6.3;7.2;-10.0;0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;3.0;8;1400.0;4.0;3;2600.0;1.0;9;1300.0;;;;48.716833, 2.384333;ORLY;En hausse;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Nuages en formation ou en train de se développer;19.0;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;5
07149;2019-05-22T23:00:00+02:00;102040;50.0;3;320;2.6;288.35;279.85;57;43450.0;1;2;2;90.0;1;1750.0;35;23;12;100960.0;;;80.0;;;;;;;;3.4;3.5;-10.0;0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;1.0;6;1900.0;3.0;3;4600.0;7.0;0;6800.0;;;;48.716833, 2.384333;ORLY;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Dans l’ensemble, nuages se dissipant ou devenant moins épais;15.200000000000045;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;5
07149;2019-05-23T11:00:00+02:00;101940;0.0;0;180;2.4;292.95;281.65;48;25630.0;2;0;0;50.0;0;7000.0;30;20;11;100880.0;;;-170.0;;;;;;;;4.8;4.8;-10.0;0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;1.0;0;7000.0;4.0;0;7800.0;;;;;;;48.716833, 2.384333;ORLY;En hausse, puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;19.80000000000001;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;5
07149;2019-09-26T11:00:00+02:00;101120;100.0;3;230;6.3;290.95;289.45;91;8880.0;50;5;2;100.0;8;250.0;35;;;100070.0;;;290.0;;;;;;;;10.0;10.9;-10.0;1;0.0;0.0;-30.0;0.0;-0.1;-0.1;0.2;0.2;;;;;5.0;7;270.0;7.0;6;420.0;;;;;;;48.716833, 2.384333;ORLY;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;Bruine;Bruine, sans congélation, intermittente, faible au moment de l’observation;17.80000000000001;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;9
